商品名称,商品详细分类,商品分类价格
精密行星减速机LSR60配步进电机57 86伺服200W400W齿轮减速器 110,"['LSR60-L1-速比3：1', 'LSR60-L1-速比4：1', 'LSR60-L1-速比5：1特价', 'LSR60-L1-速比7：1', 'LSR60-L1-速比10：1特价', 'LSR60-L2-速比15：1', 'LSR60-L2-速比20：1', 'LSR60-L2-速比25：1', 'LSR60-L2-速比30：1', 'LSR60-L2-速比35：1', 'LSR60-L2-速比40：1', 'LSR60-L2-速比50：1', 'LSR60-L2-速比70:1', 'LSR42-L1(速比4:1-10:1)', 'LSR42-L2(速比16:1-50:1）', 'LSR90-L1(速比3:1-10:1)', 'LSR90-L2(速比12:1-70:1)', 'LSR120-L1(速比3:1-10:1)', 'LSR120-L2(速比12:1-70:1）', 'LSR160-L1(速比3:1-10:1)', 'LSR160-L2(速比12:1-50:1)', '速比及电机尺寸联系客服确认', '行星减速机+电机咨询客服']","['¥369.00', '¥369.00', '¥369.00', '¥369.00', '¥369.00', '¥580.00', '¥580.00', '¥580.00', '¥580.00', '¥580.00', '¥580.00', '¥580.00', '¥580.00', '¥450.00', '¥685.00', '¥555.00', '¥837.00', '¥1050.00', '¥1446.00', '¥2135.00', '¥2783.00', '¥369.00', '¥800.00']"
禾川减速机行星齿轮减速机60120 86步进1KW2KW伺服电机信捷减速器,"['40(速比3-10)适配50-100w', '40(速比12-70)适配50-100w', '60(速比3-10)适配200-400w', '60(速比12-70)适配200-400w', '80(速比3-10)适配750w', '80(速比12-70)适配750w', '90(速比3-10)适配750w', '90(速比12-70)适配750w', '120(速比3-10)适配1-2kw', '120(速比12-70)适配1-2kw', '142(速比3-10)适配2-3kw', '142(速比12-70)适配2-3kw']","['¥620.00', '¥820.00', '¥420.00', '¥620.00', '¥560.00', '¥760.00', '¥580.00', '¥780.00', '¥1100.00', '¥1440.00', '¥3000.00', '¥4000.00']"
精密行星减速机42 57 60 80 86 130伺服电机步进齿轮减速器 400W,"['NPF60-10比方法兰（特价现货）', 'NPF90-10方法兰（特价）', 'NPF42方法兰（4比-10比）', 'NPF42方法兰（15比-100比）', 'NPF60方法兰（3比-10比）', 'NPF60方法兰（12比-100比）', 'NPF60方法兰（120比-1000比）', 'NPL60圆法兰（3比-10比）', 'NPL60圆法兰（12比-100比）', 'NPF80方法兰(3比-10比)', 'NPF80方法兰（12比-100比）', 'NPL80圆法兰（3比-10比）', 'NPL80圆法兰（12比-100比）', 'NPF90方法兰（3比-10比）', 'NPF90方法兰（12比-100比）', 'NPF90方法兰（90比-700比）', 'NPL90圆法兰（3比-10比）', 'NPL90圆法兰（12比-100比）', 'NPF120/NPL（3比-10比）', 'NPF120/NPL（12比-100比）', 'NPF/NPL150(3比-10比)', 'NPF/NPL150(12比-100比)', 'NPF180方法兰（3比-10比）', 'NPF180方法兰（12比-100比）']","['¥258.00', '¥428.00', '¥318.00', '¥458.00', '¥275.00', '¥398.00', '¥558.00', '¥275.00', '¥398.00', '¥398.00', '¥538.00', '¥398.00', '¥538.00', '¥448.00', '¥558.00', '¥868.00', '¥448.00', '¥558.00', '¥778.00', '¥1078.00', '¥1790.00', '¥2878.00', '¥3550.00', '¥4680.00']"
高精密行星减速机42 60 80 115伺服电机57 86步进小型齿轮减速器,"['直齿一级LCE/LCF42速比3~10', '直齿二级LCE/LCF/PLF42速比12~70', '直齿一级LCE/LCF60速比3~10', '直齿二级LCE/LCF60速比12~70', '直齿一级LCE/LCF80/90速比3~10', '直齿二级LCE/LCF80/90速比12~70', '直齿一级LCF115/120速比3~10', '直齿二级LCF115/120速比12~70', '直齿一级LCF160速比3~10', '直齿二级LCF160速比12~70', '斜齿一级PLX42速比3~10', '斜齿二级PLX42速比12~70', '斜齿一级VB60速比3~10', '斜齿二级VB60速比12~70', '斜齿一级VB90速比3~10', '斜齿二级VB90速比12~70', '斜齿一级VB115速比3~10', '斜齿二级VB115速比12~70', '斜齿一级VB140/142速比3~10', '斜齿二级VB140/142速比12~70', '斜齿一级VB180速比3~10']","['¥358.00', '¥450.00', '¥230.00', '¥358.00', '¥345.00', '¥465.00', '¥680.00', '¥830.00', '¥1580.00', '¥1850.00', '¥458.00', '¥588.00', '¥435.00', '¥755.00', '¥685.00', '¥880.00', '¥1050.00', '¥1450.00', '¥1850.00', '¥2490.00', '¥2980.00']"
无刷直流减速电机12v24v行星齿轮3626调速微小型马达大扭力电动机,"['单减速电机', '减速电机+支架', '减速电机+电源', '减速电机+调速器', '减速电机+支架+电源', '减速电机+调速器+电源', '减速电机+支架+调速器', '电机+支架+调速+电源']","['¥155.00-214.00', '¥155.00-214.00', '¥155.00-214.00', '¥155.00-214.00', '¥155.00-214.00', '¥155.00-214.00', '¥155.00-214.00', '¥155.00-214.00']"
PLX精密行星齿轮减速机42 60 80 130伺服57 86步进电机减速器400W,"['一级PLE/PLF42速比3~10', '二级PLE/PLF42速比12~70', '一级PLX60速比4~10', '二级PLX60速比16~70', '三级PLX60速比64~1000', '一级PLX80/90速比3~10', '二级PLX80/90速比12~70', '三级PLX80/90速比64~1000', '一级PLX120速比3~10', '二级PLX120速比12~70', '三级PLX120速比64~1000', '一级PLX142/160速比3~10', '二级PLX142/160速比12~70', '三级PLX142/160速比64~1000', '一级PLX190速比4~10', '二级PLX190速比16~70', '三级PLX190速比64~1000', 'PLX220速比4~1000', 'PLX280速比4~1000', 'PLX330速比4~1000', 'PLX42速比3~10', 'PLX42速比12~70']","['¥368.00', '¥450.00', '¥458.00', '¥685.00', '¥950.00', '¥685.00', '¥885.00', '¥1180.00', '¥1050.00', '¥1280.00', '¥1900.00', '¥2180.00', '¥2480.00', '¥3300.00', '¥3850.00', '¥4650.00', '¥5500.00', '¥7800.00', '¥8800.00', '¥9900.00', '¥428.00', '¥588.00']"
42步进电机减速器 精密行星齿轮减速箱 36MM行星电机齿轮箱正反转,"['减速比1：3.7', '减速比1：13.7', '减速比1：19.2', '减速比1：51', '减速比1：71', '减速比1：99.5', '减速比1：188.6', '减速比1：263.7', '减速比1：368.7', '减速比1：515.6']","['¥30.00', '¥35.00', '¥35.00', '¥40.00', '¥40.00', '¥40.00', '¥50.00', '¥50.00', '¥50.00', '¥50.00']"
正品热卖行星减速器/减速箱配 57 86 110 130步进电机行星减速机,"['57步进一级4/5/6//710', '57步进二级16/20/24/36/42', '57步进三级64/96/125/144/256', '86步进一级3/4/5/6/8', '86步进二级10/16/20/24/30/36', '86步进三级64/96/125/144/256', '110步进一级3/4/5/6/8', '110步进二级10/16/20/24//30/36', '110步进三级64/96/125/144/256', '130步进一级3/4/5/6/8', '130步进二级10/16/20/24/30/36', '130步进三级64/96/125/144/256', '60伺服一级3/4/6', '60伺服二级10/16/24/36', '60伺服三级64/96/125/144/256', '80伺服一级3/4/5/6', '80伺服二级10/16/20/24/30/36', '80伺服三级64/96/125/144/256', '110伺服一级3/4/5/6', '110伺服二级10/16/20/24/30/36', '130伺服一级3/4/5/6', '130伺服二级10/16/20/24/30/36', '42步进一级4/5/8', '180伺服一级3/4/5/6/8']","['¥148.00', '¥188.00', '¥218.00', '¥188.00', '¥228.00', '¥268.00', '¥258.00', '¥298.00', '¥348.00', '¥358.00', '¥398.00', '¥458.00', '¥148.00', '¥198.00', '¥218.00', '¥188.00', '¥228.00', '¥268.00', '¥258.00', '¥298.00', '¥358.00', '¥398.00', '¥138.00', '¥998.00']"
微型 10MM 行星减速电机 DC2.5V-5V M10电机 稀土强磁 医疗器械用,[],[]
行星减速机伺服电机60/80步进电机57/86/110/130精密减速器齿轮箱,"['57步进一级3.25/4/5/6/7/10', '57步进二级16/20/24/30/36/40/50/60', '57步进三级64/96/100/144/216', '86步进一级3.25/4/5/6/8', '86步进二级10.56/16/20/24/30/36', '86步进三级52/64/96/100/144/216', '110步进一级3/4/5/6/8/10', '110步进二级9.46/16/20/24/30/36/48/50/60', '110步进三级64/96/100/144/216', '130步进一级3/4/5/6/7/8', '130步进二级9/12/16/18/20/24/30/36']","['¥128.00', '¥168.00', '¥198.00', '¥168.00', '¥208.00', '¥248.00', '¥238.00', '¥278.00', '¥328.00', '¥338.00', '¥378.00']"
行星减速器/减速箱配57 60 80 86 110 130步进/伺服/无刷电机减速,"['57减速 一级1:4/5/6/10/3', '57减速 二级1:16/24/36/20', '57减速三级1:64/96/125/144/216', '60减速 一级1:4/3/6/5', '60减速 二级1:10/16/24/36/20', '60减速三级1:64/96/125/144/216', '80减速 一级1:3/4/5/6', '80减速 二级1:10/16/20/24/30/36', '80减速 三级1:64/96/125/144/216', '86减速 一级1:3/4/5/6', '86减速 二级1:10/16/20/24/30/36', '86减速 三级1:64/96/125/144/216', '110减速 一级1:3/4/5/6', '110减速二级1:10/16/20/24/30/36', '110减速三级1:64/96/125/144/216', '130减速 一级1:3/4/5/6', '130减速二级1:10/16/20/24/30/36', '130减速三级1:64/96/125/144/216']","['¥130.00', '¥170.00', '¥200.00', '¥130.00', '¥170.00', '¥200.00', '¥170.00', '¥210.00', '¥250.00', '¥170.00', '¥210.00', '¥250.00', '¥240.00', '¥280.00', '¥330.00', '¥340.00', '¥380.00', '¥435.00']"
精密行星齿轮减速机42 60 80 90 130伺服57 86步进电机小型减速器,"['一级PLE/PLF42速比3~10', '二级PLE/PLF42速比12~70', '一级（PLF60速比4-10）', '二级（PLF60速比16-70）', '三级（PLF60速比64-1000）', '一级（PLF80/90速比3-10）', '二级（PLF80/90速比12-70）', '三级（PLF80/90速比64-1000）', '一级（PLF120/130速比3-10）', '二级（PLF120/130速比12-70）', '三级（PLF120/130速比64-1000）', '一级（PLF160速比3-10）', '二级（PLF160速比12-70）', '三级（PLF160速比64-1000）']","['¥358.00', '¥455.00', '¥238.00', '¥395.00', '¥830.00', '¥368.00', '¥495.00', '¥1150.00', '¥680.00', '¥880.00', '¥1750.00', '¥1680.00', '¥2250.00', '¥2950.00']"
卓创VRB60/90/120/140/180精密齿轮轮减速器斜齿行星高精密减速机,"['VRB60-L1-S2-P2-X', 'VRB60-L2-S2-P2-X', 'VRB90-L1-S2-P2-X', 'VRB90-L2-S2-P2-X', 'VRB120-L1-S2-P2-X', 'VRB120-L2-S2-P2-X', 'VRB140-L1-S2-P2-X', 'VRB140-L2-S2-P2-X', 'VRB180-L1-S2-P2-X', 'VRB180-L2-S2-P2-X']","['¥550.00', '¥830.00', '¥760.00', '¥990.00', '¥1200.00', '¥1760.00', '¥1870.00', '¥2770.00', '¥3020.00', '¥4950.00']"
750W伺服电机精密直角行星减速器 立式90度转角小型行星减速机,"['', '', '', '', '', '', '']","['¥829.00', '¥999.00', '¥1100.00', '¥1325.00', '¥1729.00', '¥2070.00', '¥299.00']"
带行星减速箱24V直流无刷电机42/57有霍尔BLDC可调速替代有刷电机,"['42-30W减速电机', '42-30W减速电机+BLD03B驱动器', '42-60W减速电机', '42-60W减速电机+BLD03B驱动器', '57-70W减速电机', '57-70W减速电机+BLD15驱动器', '57-120W减速电机', '57-120W减速电机+BLD15驱动器', '57-188W减速电机', '57-188W减速电机+BLD15驱动器', '现货速比5/10/20下单备注', '其它速比请联系客服确认再下单']","['¥350.00', '¥450.00', '¥400.00', '¥500.00', '¥400.00', '¥550.00', '¥450.00', '¥550.00', '¥500.00', '¥600.00', '¥100.00', '¥100.00']"
钕强磁57无刷行星减速电机 36V150W行星减速1000线编码器伺服电机,"['', '']","['¥80.00', '¥80.00']"
热销行星减速机配57 60 80 86 110 130步进/伺服电机减速器齿轮箱,"['57/60一级减速比(新款)', '57/60二级减速比(新款)', '80一级减速比(新款)', '80二级减速比(新款)', '86 一级减速比(新款)', '86 二级减速比(新款)', '110一级减速比(新款)', '110二级减速比(新款)', '130一级减速比(新款)', '130二级减速比(新款)', '57步进一级减速比', '57步进二级减速比', '86步进一级减速比', '86步进二级减速比', '60伺服一级减速比', '60伺服二级减速比', '80伺服一级减速比', '80伺服二级减速比', '110伺服一级减速比', '110伺服二级减速比', '130伺服一级减速比', '130伺服二级减速比', '80精密一级减速比', '齿轮']","['¥170.00', '¥200.00', '¥200.00', '¥240.00', '¥210.00', '¥240.00', '¥310.00', '¥370.00', '¥410.00', '¥490.00', '¥180.00', '¥225.00', '¥225.00', '¥255.00', '¥200.00', '¥240.00', '¥230.00', '¥260.00', '¥310.00', '¥370.00', '¥410.00', '¥490.00', '¥520.00', '¥68.00']"
Nology诺立电器 42-42行星减速直流无刷电机 24V 45W 61mm,"['圆形安装板键槽10', '圆形安装板D形10', '方形安装板D形8']","['¥288.00-334.00', '¥288.00-334.00', '¥288.00-334.00']"
精密行星齿轮减速机60 80伺服电机130 86步进57 42器直角400W750W,[],[]
Nology诺立电器 60-60行星减速直流电机24V100W,"['圆形安装板', '方形安装板']","['¥312.00-472.00', '¥312.00-472.00']"
精密行星齿轮减速机60 80 130 伺服电机 步进200W400W750W变速器,"['PF/PL60（3~10比）', 'PF/PL60（12-64比）', 'PF/PL60（60比 80~200比）', 'PF/PL80（3~10比）', 'PF/PL80（12-64比）', 'PF/PL80（60比 80~200比）', 'PF/PL120（3~10比）', 'PF/PL120（12-64比）', 'PF/PL120（60比 80~200比）']","['¥396.00', '¥572.00', '¥825.00', '¥528.00', '¥704.00', '¥990.00', '¥1111.00', '¥1540.00', '¥2145.00']"
ZCAR90VRBR90直角硬齿面拐弯伺服高精密行星减速机90度转角减速器,"['ZCAR60-L1-S2-P2-Z', 'ZCAR60-L2-S2-P2-Z', 'ZCAR90-L1-S2-P2-Z', 'ZCAR90-L2-S2-P2-Z', 'ZCAR115-L1-S2-P2-Z', 'ZCAR115-L2-S2-P2-Z', 'VRBR60-L1-S2-P2-X', 'VRBR60-L2-S2-P2-X', 'VRBR90-L1-S2-P2-X', 'VRBR90-L2-S2-P2-X', 'VRBR120-L1-S2-P2-X', 'VRBR120-L2-S2-P2-X', 'VRBR140-L1-S2-P2-X', 'VRBR140-L2-S2-P2-X', 'VRBR180-L1-S2-P2-X', 'VRBR180-L2-S2-P2-X']","['¥1200.00', '¥1480.00', '¥1850.00', '¥2100.00', '¥2400.00', '¥3060.00', '¥1100.00', '¥1450.00', '¥1600.00', '¥1800.00', '¥2280.00', '¥2880.00', '¥3580.00', '¥4730.00', '¥5940.00', '¥7980.00']"
精密行星减速机配5786步进406080伺服电机200W400W750W齿轮减速器,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","['¥396.00', '¥396.00', '¥536.00', '¥736.00', '¥536.00', '¥736.00', '¥436.00', '¥636.00', '¥476.00', '¥670.00', '¥676.00', '¥876.00', '¥696.00', '¥916.00', '¥736.00', '¥940.00', '¥1376.00', '¥1736.00', '¥2576.00', '¥3256.00']"
42BYG行星减速步进电机 42BYG减速带刹车步进电机 42闭环步进电机,"['单出轴', '双出轴', '带刹车', '带编码器（闭环）']","['¥61.00-251.00', '¥61.00-251.00', '¥61.00-251.00', '¥61.00-251.00']"
来福谐波减速机高精密行星齿轮伺服电机减速器工业机器人替代绿的,"['LSS-14（速比50~100，其他速比留言）', 'LSS-17（速比50~100，其他速比留言）', 'LSS-20（速比50~100，其他速比留言）', 'LSS-25（速比50~100，其他速比留言）', 'LSS-32（速比50~100，其他速比留言）', 'LSS-40（速比50~100，其他速比留言）', 'LHT-14（速比50~100，其他速比留言', 'LHT-17（速比50~100，其他速比留言）', 'LHT-20（速比50~100，其他速比留言）', 'LHT-25（速比50~100，其他速比留言）', 'LHT-32（速比50~100，其他速比留言）', 'LHT-40（速比50~100，其他速比留言）', 'LSG-14（速比50~100，其他速比留言）', 'LSG-17（速比50~100，其他速比留言）', 'LSG-20（速比50~100，其他速比留言）', 'LSG-25（速比50~100，其他速比留言）', 'LSG-32（速比50~100，其他速比留言）', 'LSG-40（速比50~100，其他速比留言）', '白色', '银色']","['¥1480.00', '¥1580.00', '¥1650.00', '¥1780.00', '¥1980.00', '¥3980.00', '¥1580.00', '¥1780.00', '¥1880.00', '¥1980.00', '¥2280.00', '¥4280.00', '¥1780.00', '¥1880.00', '¥1950.00', '¥1980.00', '¥2580.00', '¥3680.00', '¥1000.00', '¥80.00']"
精密行星减速机配57/60/80/86/110/130步进/伺服电机减速器齿轮箱,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","['¥115.00', '¥135.00', '¥175.00', '¥205.00', '¥135.00', '¥175.00', '¥205.00', '¥175.00', '¥215.00', '¥255.00', '¥175.00', '¥215.00', '¥255.00', '¥245.00', '¥285.00', '¥330.00', '¥245.00', '¥285.00', '¥345.00', '¥385.00', '¥430.00', '¥330.00', '¥385.00', '¥430.00']"
纽格尔高精密伺服电机行星齿轮减速机PRF60 90小型立式减速器现货,"['PRF40-L1', 'PRF40-L2', 'PRF60-L1', 'PRF60-L2', 'PRF80-L1', 'PRF80-L2', 'PRF90-L1', 'PRF90-L2', 'PRF120-L1', 'PRF120-L2', 'PRF160-L1', 'PRF160-L2']","['¥280.00', '¥420.00', '¥340.00', '¥460.00', '¥480.00', '¥680.00', '¥490.00', '¥680.00', '¥900.00', '¥1260.00', '¥1950.00', '¥2420.00']"
精密行星减速机PLF42 60 80 90 120 160小微型定制减速器伺服电机,['非标规格'],['¥88.00']
12V行星马达24V直流减速电机775低速正反微型调速电动机小型马达,"['5转', '10转', '15转', '20转', '30转', '50转', '100转', '200转', '300转', '500转']","['¥156.60-186.00', '¥156.60-186.00', '¥156.60-186.00', '¥156.60-186.00', '¥156.60-186.00', '¥156.60-186.00', '¥156.60-186.00', '¥156.60-186.00', '¥156.60-186.00', '¥156.60-186.00']"
行星减速机精密PLF小微型减速器42 60 80 90 120 160步进伺服电机,"['PLF42单级传动（速比3-10）', 'PLF42双级传动（速比12-70）', 'PLF42三级传动（速比64-1000）', 'PLF60单级传动（速比3-10）', 'PLF60双级传动（速比12-70）', 'PLF60三级传动（速比64-1000）', 'PLF80单级传动（速比3-10）', 'PLF80双级传动（速比12-70）', 'PLF90单级传动（速比3-10）', 'PLF90双级传动（速比12-70）', 'PLF90三级传动（速比64-1000）', 'PLF120单级传动（速比3-10）', 'PLF120双级传动（速比12-70）', 'PLF120三级传动（速比64-1000）', 'PLF160单级传动（速比3-10）', 'PLF160双级传动（速比12-70）', 'PLF160三级传动（速比64-1000）', 'PLF规格']","['¥800.00', '¥800.00', '¥800.00', '¥800.00', '¥800.00', '¥800.00', '¥800.00', '¥800.00', '¥800.00', '¥800.00', '¥800.00', '¥3000.00', '¥3000.00', '¥3000.00', '¥3000.00', '¥3000.00', '¥3000.00', '¥500.00']"
高精度大扭矩精密行星减速机PF-42配步进电机750W伺服小型减速器,"['PF28一级', 'PF28二级', 'PF28三级', 'PF42一级', 'PF42二级', 'PS42一级', 'PS42二级', 'PL35一级', 'PL35二级', 'PF60一级', 'PF60二级', 'PF80一级', 'PF80二级', 'PF90一级', 'PF90二级', 'PF120一级', 'PF120二级', 'PLX142一级', 'PLX142二级', 'PF160一级', 'PF160二级', 'PLE42-05']","['¥378.00', '¥510.00', '¥685.00', '¥165.00', '¥190.00', '¥290.00', '¥320.00', '¥260.00', '¥360.00', '¥240.00', '¥350.00', '¥375.00', '¥530.00', '¥375.00', '¥530.00', '¥675.00', '¥920.00', '¥1630.00', '¥1750.00', '¥1630.00', '¥1750.00', '¥88.00']"
精密行星减速机/器配42/57/60/80/110/130/86步进电机伺服减速机,[],[]
精密400W伺服电机直齿轮60行星减速机 大扭矩42/57/86/130减速器,[],[]
42/57/86/60/90步进伺服电机微型精密行星齿轮减速机减速器齿轮箱,[],[]
精密行星减速机PLF小微型定制减速器伺服电机42 60 80 90 120 160,[],[]
行星增速器42双轴齿轮箱双轴 卓燊 可做增速和减速使用 钢齿轮,[],[]
57/60/80/86/110/130步进伺服行星减速机支架减速器卧式固定机座,[],[]
现货60 40 80精密行星减速机 器 箱100W200W400W750W各类伺服电机,[],[]
